"id","itemid","modification","slotid"
14649,46,"Talon Sixteen Silencer",1
14650,46,"Bruen Counter-Ops",1
14651,46,"Vigilante Comp",1
14652,46,"SA Shroud Flash Hider",1
14653,46,"Corio Enforcer Optic",5
14654,46,"SZ Lonewolf Optic",5
14655,46,"Kazan-Holo",5
14087,20,"24.4"" Bruen S-620",2
14088,42,"508mm Rear Guard",2
14089,27,"508mm Rear Guard",2
14090,42,"16.5"" Bruen S901",2
14091,27,"16.5"" Bruen S901",2
14093,34,"22"" Factory Fourteen Barrel",2
14094,34,"22"" Boremaster Barrel",2
14095,22,"22"" Boremaster Barrel",2
14096,34,"18"" T300 Barrel",2
14097,22,"18"" T300 Barrel",2
14098,34,"16"" Chrome-Lined RFX40 Barrel",2
14099,22,"16"" Chrome-Lined RFX40 Barrel",2
14101,18,"Schlager RV-B",2
14102,18,"Tango 228 Barrel",2
14103,18,"Schlager L203 Barrel",2
14104,18,"Lach-DX 203mm",2
14105,18,"Lachmann Dart 165mm",2
14107,18,"LM Series-7",2
10704,5,"FJX DIOD-70",4
13879,7,"7.62 Armor Piercing",11
14108,26,"FTAC 8.5"" Recon",2
14109,26,"Forge TAC Ninja",2
14110,26,"Fennec Covert Force",2
14111,26,"ZLR 16.5"" Ignition Barrel",2
14112,26,"5.5"" Fennec Minitac",2
20960,65,"EXF Resistance Grip",16
20961,65,"GS .50 Wood Grain",16
20962,65,"GS Magna Akimbo",16
20657,63,"Demon Helix T7",1
14113,15,"9.5"" Duke-30",2
20324,57,"Kazan-Holo",5
14119,39,"Matuzek 812 Barrel",2
14120,39,"711mm Matuzek D50",2
14127,33,"419mm Schlager Salvo",2
14129,30,"21.5"" Bryson Shredder",2
14130,11,"21.5"" Bryson Shredder",2
20014,49,"Zulu-60",1
14133,30,"18"" Demo Firewall",2
14134,11,"18"" Demo Firewall",2
14135,30,"16"" Bryson Shockwave",2
14136,11,"16"" Bryson Shockwave",2
14138,30,"8"" XRK CQB Barrel",2
14140,2,"Kyzyl Dawn Barrel",2
14141,2,"355mm GHS-55",2
14142,2,"20"" Bruen Silver Series Barrel",2
14146,7,"22.5"" Elevate-11",2
14147,12,"22.5"" Elevate-11",2
10975,18,"XTEN Black Kite",1
10976,27,"XTEN Black Kite",1
10977,24,"XTEN Black Kite",1
10978,41,"XTEN Black Kite",1
10979,14,"XTEN Black Kite",1
10980,44,"XTEN Black Kite",1
10981,15,"XTEN Black Kite",1
10982,26,"XTEN Black Kite",1
14148,7,"23.5"" Fluted R-67",2
14149,25,"23.5"" Fluted R-67",2
14150,7,"18.5"" XRK Resonate",2
14151,32,"18.5"" XRK Resonate",2
14152,7,"16"" ZLR Executor 80 Barrel",2
14154,12,"16"" ZLR Executor 80 Barrel",2
14155,7,"12.5"" Carbon Barrel",2
14156,32,"12.5"" Carbon Barrel",2
14157,32,"9"" TAC-CB 55",2
14158,32,"18.5"" Bryson LR Factory",2
14159,25,"18.5"" Bryson LR Factory",2
14160,12,"18.5"" Bryson LR Factory",2
14161,25,"22"" Cavalry Barrel",2
14137,30,"16"" Bryson Factory",2
14145,40,"26.5"" Demo Field Pro Barrel",2
14165,9,"21"" Coyote Barrel",2
14166,9,"25"" Buffalo Barrel",2
14167,9,"22.5"" EXF Alamo",2
14169,31,"17.5"" Orca Barrel",2
14170,31,"19"" Silentfire Barrel",2
14171,37,"FSS Jetstream",2
14172,37,"21.5"" Fluted Fifty",2
14173,37,"29"" TV Kilo-50",2
14001,12,".300 Frangible",11
14175,6,"XRK Tacops Barrel",2
14176,6,"Matuzek Venom",2
14178,1,"SA Brake Barrel",2
20326,57,"SZ Holotherm",5
20327,57,"XTEN Angel-40",5
14180,1,"SA Longshot-50",2
14181,1,"SA Tyrant Fifty",2
20015,49,"Kastovia DX90",1
20112,23,"FR Titan Silencer",1
20113,34,"FR Titan Silencer",1
10412,28,"Canted Vibro-Dot 7",4
14185,13,"XRK LUC-9",2
14656,46,"Corvus Downrange-00",5
14657,46,"SZ Holotherm",5
14658,46,"XTEN Angel-40",5
14659,46,"VLK 4.0 Optic",5
14661,46,"Forge Tac Delta 4",5
14662,46,"Cronen Zero-P Optic",5
14663,46,"SZ Bullseye Optic",5
14664,46,"SZ Aggressor-IR Optic",5
14665,46,"Schlager Night View",5
14668,46,"DR582 Hybrid Sight",5
14669,46,"Hybrid Firepoint",5
14670,46,"SZ Vortex-90",5
14671,46,"BPZ40 Hybrid",5
14186,13,"Impact Point",2
14187,3,"Bryson Snubby",2
14188,3,"FTAC Fang Ported",2
14189,3,"6.75"" Corvus Cougar 500",2
14190,3,"10.5"" FTAC Arrow",2
14191,3,"FTAC Carnivora 7""",2
14192,10,"45 Round Mag",13
14193,16,"45 Round Mag",13
14194,10,"60 Round Mag",13
14195,16,"60 Round Mag",13
14196,16,"15 Round Magazine",13
14197,29,"5 Round Mag",13
14198,29,"15 Round Mag",13
14199,36,"100 Round Box Mag",13
14200,8,"40 Round Mag",13
14201,8,"60 Round Mag",13
14202,28,"30 Round Mag",13
14203,28,"50 Round Drum",13
14204,45,"15 Round Mag",13
14205,45,"20 Round Mag",13
14210,43,"45 Round Mag",13
14211,19,"45 Round Mag",13
14212,19,"60 Round Mag",13
20032,49,"DF105 Reflex Sight",5
14214,44,"Minibak Grip Mag",13
14215,17,"100 Round Drum",13
14218,35,"15 Round Mag",13
14219,35,"40 Round Mag",13
13880,38,"7.62 Armor Piercing",11
14220,35,"60 Round Mag",13
14667,46,"Teplo-OP3 Scope",5
14222,23,"30 Round Mag",13
14225,23,"10 Round Mag",13
20328,57,"VLK 4.0 Optic",5
20658,63,"Nilsound 90",1
20659,63,"FTAC Dreadnought",1
20329,57,"Schlager 3.4x",5
14232,42,"42 Round Mag",13
14233,20,"42 Round Mag",13
20114,28,"FR Titan Silencer",1
14235,20,"100 Round Mag",13
14238,34,"25 Round Mag",13
14239,22,"15 Round Mag",13
14240,22,"20 Round Mag",13
14241,18,"30 Round Mag",13
14243,18,"60 Round Mag",13
14244,26,"Fennec Double Tap Mod",13
14245,26,"Fennec Mag 45",13
14246,11,"5-Shell Mag",13
14247,11,"12 Shell Mag",13
14248,2,"125 Round Belt Mag",13
14249,2,"150-Round Box Magazine",13
14250,40,"100 Round Belt Mag",13
14251,40,"50 Round Belt Mag",13
14252,7,"10 Round Mag",13
14255,25,"8-Round Magazine",13
14256,12,"8-Round Magazine",13
14257,31,"5 Round Mag",13
14258,31,"15 Round Mag",13
14259,37,"7 Round Magazine",13
14339,17,"Heavy Support Stock",6
14340,35,"LM-S Factory G79 Stock",6
14341,23,"LM-S Factory G79 Stock",6
14342,35,"Rapp-762 Factory",6
14343,23,"Rapp-762 Factory",6
14213,41,"45 Round Mag",13
14344,38,"Rapp-762 Factory",6
14345,35,"Lachmann S76 Factory Stock",6
14346,24,"Lachmann S76 Factory Stock",6
14347,21,"Lachmann S76 Factory Stock",6
20655,63,"Ported DZ38",1
20656,63,"Dark KX50 Flash Hider",1
14349,35,"FT Mobile Stock",6
14216,17,"30 Round Mag",13
14217,17,"40 Round Mag",13
14223,23,"15 Round Mag",13
14227,24,"40 Round Mag",13
14228,24,"50 Round Drum",13
14351,24,"FT Mobile Stock",6
14352,21,"FT Mobile Stock",6
14353,38,"FT Mobile Stock",6
14355,23,"Lachmann S9 Factory",6
14356,23,"Meer Recoil-56 Factory Stock",6
14357,24,"Meer Recoil-56 Factory Stock",6
14358,21,"Meer Recoil-56 Factory Stock",6
14359,38,"Meer Recoil-56 Factory Stock",6
14360,24,"LM Stockless Mod",6
13881,23,"7.62 Overpressured +P",11
14361,42,"Bruen MX9 Stock",6
14363,42,"Bruen HCR 56 Stock",6
14369,22,"SO R55 Adaptor",6
14370,34,"Model 1957 Stock",6
20660,63,"FTAC Reaper",1
14236,20,"30 Round Mag",13
14371,22,"FTAC Valor Stock",6
14372,22,"SO-90 Factory Stock",6
14373,18,"LM Precision Stock",6
14374,18,"Assault-60 Stock",6
11352,11,"MACK8 Frost Bite",1
14376,18,"VEL A-568 Collapsed",6
14377,26,"Fennec Bullfighter",6
14378,26,"FTAC XCommand Stock",6
14379,26,"FTAC Locktight Stock",6
14380,26,"Agile Assault-7 Stock",6
14383,15,"Guard Duty Stock",6
14384,15,"FSS Heavy Stock Pro",6
14385,39,"Sweetspot Stock",6
14386,39,"Cronen Marshal Stock",6
14387,39,"Bryson Natural Series Stock",6
14388,39,"Heist Stock Mod",6
14389,33,"Resonance Stock Collapsed",6
14390,33,"FSS Frame Stock",6
14391,33,"Bryson Reverb-55 Stock",6
14392,33,"Schlager Resonance",6
14393,30,"FTAC Apollo Stock",6
14394,11,"FTAC Apollo Stock",6
14395,30,"FSS Guardian Stock",6
14396,11,"FSS Guardian Stock",6
14397,30,"FSS Watchman",6
14398,30,"XTEN Ripcord Stock",6
14399,11,"XTEN Ripcord Stock",6
14400,30,"Stockless Pistol Grip",6
14401,11,"Stockless Pistol Grip",6
14402,30,"Sawed Off Mod",6
14403,11,"Sawed Off Mod",6
14404,11,"Bryson 800 Factory Stock",6
14184,5,"XRK LUC-9",2
14405,2,"Sakin Riptide Stock",6
14407,2,"Cheetah STM Stock",6
14408,40,"Demo H-40",6
14409,40,"Demo Nimble Stock",6
14411,40,"Demo Folding Stock",6
14412,7,"Bryson Inforcer Stock",6
20033,49,"Monocle CT90",5
14413,7,"ZRL T70 Pad Extension",6
14414,32,"FTAC EZX-Pro",6
14415,32,"Assault-60 Stock",6
14416,32,"XRK Specter Mod",6
14417,25,"Bryson Streamline",6
14666,46,"VX350 Thermal Optic",5
14420,12,"PVZ-890 Tac Stock",6
14421,9,"Demo VX509 Stock",6
14422,9,"Lockwood Bullseye Stock",6
14423,9,"Cut Off Stock Mod",6
14425,31,"Cronen LW-88 Stock",6
20330,57,"Forge Tac Delta 4",5
14428,37,"SO Inline Stock",6
14429,37,"FTAC Invisi-670 Stock",6
14430,5,"XRK Pistol Stock",6
14673,46,"Thermo-Optic X9",5
14674,46,"Teplo Clear Shot",5
20016,49,"Tempus GH50",1
11858,1,"SZ Recharge-DX",5
11421,42,"Slimline Pro",5
11422,16,"Slimline Pro",5
11423,43,"Slimline Pro",5
11424,19,"Slimline Pro",5
11425,23,"Slimline Pro",5
11426,34,"Slimline Pro",5
11427,28,"Slimline Pro",5
11428,29,"Slimline Pro",5
11429,18,"Slimline Pro",5
11430,27,"Slimline Pro",5
11431,24,"Slimline Pro",5
11432,41,"Slimline Pro",5
11433,14,"Slimline Pro",5
11434,44,"Slimline Pro",5
11435,15,"Slimline Pro",5
11436,26,"Slimline Pro",5
11437,39,"Slimline Pro",5
11438,33,"Slimline Pro",5
11439,30,"Slimline Pro",5
11440,11,"Slimline Pro",5
11441,2,"Slimline Pro",5
11442,20,"Slimline Pro",5
11443,36,"Slimline Pro",5
11444,40,"Slimline Pro",5
11445,17,"Slimline Pro",5
11446,21,"Slimline Pro",5
11447,22,"Slimline Pro",5
11448,7,"Slimline Pro",5
11449,9,"Slimline Pro",5
11450,38,"Slimline Pro",5
11451,32,"Slimline Pro",5
11452,45,"Slimline Pro",5
11453,6,"Slimline Pro",5
20859,63,"Field-Wrapped Handle",21
20860,63,"Keystone Handle",21
11454,1,"Slimline Pro",5
11455,5,"Slimline Pro",5
11456,3,"Slimline Pro",5
11457,13,"Slimline Pro",5
14432,13,"XRK Bar Stock",6
14433,13,"X13 Coachwhip Stock",6
14434,10,"D15 Grip",16
14436,29,"D15 Grip",16
14437,14,"D15 Grip",16
20034,49,"Corvus SOL-76",5
13882,34,"7.62 Overpressured +P",11
14438,36,"D15 Grip",16
14439,10,"Sakin ZX Grip",16
14440,16,"Sakin ZX Grip",16
14677,46,"Luca Bandera Scope",5
20331,57,"Cronen Zero-P Optic",5
14678,46,"Drexsom Prime-90",5
14679,46,"Ares Clear Shot",5
14680,46,"DXS Coriolis V4",5
14681,46,"Lachmann Impact 9",5
14682,46,"SP-X 80 6.6x",5
20661,63,"Bruen Agent 90",1
20662,63,"Talon Sixteen",1
14683,46,"FTAC Locus SP",5
20116,17,"FR Titan Silencer",1
20117,21,"FR Titan Silencer",1
14692,46,"DS Farsight 11",5
14693,46,"3x RFL-Optic",5
14322,4,"Prolite TL3 Stock",6
14694,46,"SZ Ultra 11.5x",5
14695,46,"Drexsom Prime-90 2",5
14696,46,"Level Aim Bipod",8
14697,46,"Cornerstone Bipod",8
14698,46,"XTEN Stable Shot",8
14699,46,".50 Cal Frangible",11
14700,46,".50 Cal Armor Piercing",11
14701,46,".50 Cal Explosive",11
14702,46,".50 Cal High Velocity",11
14703,46,".50 Cal Incendiary",11
14706,46,"26"" Mammoth HB50",2
14707,46,"Executor 546",2
14708,46,"7 Round Mag",13
14709,46,"9 Round Mag",13
14710,46,"FTAC Homeland",6
14711,46,"XRK Bullseye",6
14441,29,"Sakin ZX Grip",16
14442,14,"Sakin ZX Grip",16
14443,36,"Sakin ZX Grip",16
14444,10,"XTEN Grip",16
14445,16,"XTEN Grip",16
14446,29,"XTEN Grip",16
14447,14,"XTEN Grip",16
14448,36,"XTEN Grip",16
14449,10,"Phantom Grip",16
14450,14,"Phantom Grip",16
14451,10,"Support CP90 Grip",16
14452,16,"Support CP90 Grip",16
20861,64,"Series 710 Pistol Laser",4
20862,64,"FJX DIOD-70",4
14453,29,"Support CP90 Grip",16
14454,8,"XRK Response Grip",16
14455,28,"XRK Response Grip",16
14457,8,"FSS Combat Grip",16
14458,28,"FSS Combat Grip",16
14459,45,"FSS Combat Grip",16
14460,8,"Demo Cleanshot Grip",16
14461,28,"Demo Cleanshot Grip",16
14462,45,"Demo Cleanshot Grip",16
14463,45,"TV Ergo Grip",16
13883,28,"7.62 Overpressured +P",11
14464,4,"Ivanov ST-70 Grip",16
14465,43,"Ivanov ST-70 Grip",16
14466,19,"Ivanov ST-70 Grip",16
14469,17,"Ivanov ST-70 Grip",16
14470,4,"Demo-X2 Grip",16
14324,17,"Prolite TL3 Stock",6
14471,43,"Demo-X2 Grip",16
14472,19,"Demo-X2 Grip",16
14473,41,"Demo-X2 Grip",16
20019,49,"Bore-490",1
20663,63,"EXF Relentless-40",1
20664,63,"BVM-338",1
14474,44,"Demo-X2 Grip",16
14480,44,"True-TAC Grip",16
14481,17,"True-TAC Grip",16
20118,7,"FR Titan Silencer",1
14482,35,"S-Grip Zero",16
14483,23,"S-Grip Zero",16
14484,35,"LM Cronus Grip",16
14485,23,"LM Cronus Grip",16
14486,24,"LM Cronus Grip",16
10316,10,"Schlager PEQ Box IV",4
10317,8,"Schlager PEQ Box IV",4
10318,4,"Schlager PEQ Box IV",4
10320,16,"Schlager PEQ Box IV",4
10321,43,"Schlager PEQ Box IV",4
10322,19,"Schlager PEQ Box IV",4
10323,23,"Schlager PEQ Box IV",4
10324,34,"Schlager PEQ Box IV",4
10325,28,"Schlager PEQ Box IV",4
10326,29,"Schlager PEQ Box IV",4
10327,41,"Schlager PEQ Box IV",4
10328,14,"Schlager PEQ Box IV",4
10329,44,"Schlager PEQ Box IV",4
10330,26,"Schlager PEQ Box IV",4
10331,2,"Schlager PEQ Box IV",4
10332,36,"Schlager PEQ Box IV",4
10333,40,"Schlager PEQ Box IV",4
10334,17,"Schlager PEQ Box IV",4
14714,46,"Bruen G305 Grip",16
14715,46,"STIP-40 Grip",16
14716,46,"Bruen Q900 Grip",16
14717,46,"Corvus Responder",9
14718,48,"1mW Quick Fire Laser",4
14719,48,"Accu-Shot 5mW Laser",4
11827,43,"SZ Recharge-DX",5
11828,19,"SZ Recharge-DX",5
11829,23,"SZ Recharge-DX",5
11830,34,"SZ Recharge-DX",5
11831,28,"SZ Recharge-DX",5
11832,29,"SZ Recharge-DX",5
11833,18,"SZ Recharge-DX",5
11834,27,"SZ Recharge-DX",5
11835,24,"SZ Recharge-DX",5
11838,44,"SZ Recharge-DX",5
11840,26,"SZ Recharge-DX",5
11841,39,"SZ Recharge-DX",5
11842,33,"SZ Recharge-DX",5
13884,2,"7.62 Overpressured +P",11
11843,30,"SZ Recharge-DX",5
11844,11,"SZ Recharge-DX",5
11849,17,"SZ Recharge-DX",5
11850,21,"SZ Recharge-DX",5
11851,22,"SZ Recharge-DX",5
11852,7,"SZ Recharge-DX",5
11853,9,"SZ Recharge-DX",5
11854,38,"SZ Recharge-DX",5
11855,32,"SZ Recharge-DX",5
11856,45,"SZ Recharge-DX",5
11857,37,"SZ Recharge-DX",5
20025,49,"Slimline Pro",5
11860,13,"SZ Recharge-DX",5
10336,22,"Schlager PEQ Box IV",4
20665,63,"Cronen DM338",1
10337,7,"Schlager PEQ Box IV",4
10340,45,"Schlager PEQ Box IV",4
10341,31,"Schlager PEQ Box IV",4
10343,25,"Schlager PEQ Box IV",4
20335,57,"VX350 Thermal Optic",5
10344,12,"Schlager PEQ Box IV",4
10346,8,"Corio LAZ-44 V3",4
14721,48,"Schlager ULO-66 Laser",4
14722,48,"Stovl TAC Laser",4
14723,48,"Hipshot L20",4
14724,48,"Point-G3P 04",4
14725,48,"FJX Ultrabeam XR",4
14726,48,"EXF Solarflare",4
14727,48,"1mW Artemis Laser",4
14728,48,"7mW Canted Laser",4
